Code,typo
2772,Couronne périurbaine
2773,Couronne périurbaine
2774,Couronne périurbaine
2775,Couronne périurbaine
2776,Couronne périurbaine
2777,Couronne périurbaine
2778,Couronne périurbaine
2779,Espace rural
2780,Couronne périurbaine
2781,Couronne périurbaine
2782,Couronne périurbaine
2783,Espace rural
2784,Espace rural
2785,Couronne périurbaine
2786,Espace rural
2787,Couronne périurbaine
2788,Couronne périurbaine
2789,Pôle urbain
2790,Couronne périurbaine
2791,Couronne périurbaine
2792,Couronne périurbaine
2793,Couronne périurbaine
2794,Couronne périurbaine
2795,Couronne périurbaine
2796,Couronne périurbaine
2797,Couronne périurbaine
2798,Couronne périurbaine
2799,Couronne périurbaine
2800,Couronne périurbaine
2801,Espace rural
2802,Espace rural
2803,Couronne périurbaine
2804,Couronne périurbaine
2805,Pôle urbain
2806,Couronne périurbaine
2807,Couronne périurbaine
2808,Couronne périurbaine
2809,Couronne périurbaine
2810,Couronne périurbaine
2812,Couronne périurbaine
2813,Couronne périurbaine
2814,Espace rural
2815,Espace rural
2816,Couronne périurbaine
